EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1031,59,No,Human Resources,12,2,Medical,1,4,Male,70,1,4,Healthcare Representative,2,Single,6001,17295,2,Y,Yes,18,3,3,8,1,36,0,1,1,7,14,10
1032,45,No,Sales,22,4,Life Sciences,1,2,Male,84,3,2,Human Resources,2,Married,4321,18461,8,Y,No,19,4,2,8,0,20,4,4,0,5,15,11
1033,33,Yes,Research & Development,22,1,Medical,1,3,Male,90,1,3,Manager,1,Divorced,14074,9366,4,Y,No,12,4,3,8,0,23,0,4,10,10,11,10
1034,32,No,Human Resources,18,4,Medical,1,1,Male,78,1,3,Manufacturing Director,3,Married,5327,17851,1,Y,Yes,19,4,1,8,3,25,1,4,5,12,12,4
1035,64,No,Research & Development,15,3,Life Sciences,1,1,Male,81,1,3,Sales Executive,2,Divorced,15068,20078,6,Y,No,21,3,1,8,2,40,1,3,31,18,12,7
1036,61,No,Human Resources,17,2,Life Sciences,1,4,Male,31,2,3,Sales Executive,3,Married,2697,25835,2,Y,Yes,22,4,2,8,3,11,2,2,14,10,12,5
1037,20,No,Human Resources,29,2,Other,1,4,Female,79,3,2,Healthcare Representative,3,Single,1476,18989,0,Y,Yes,14,3,1,8,1,18,4,1,11,1,13,15
1038,54,No,Human Resources,14,4,Other,1,2,Female,72,2,1,Laboratory Technician,3,Single,10546,17196,2,Y,No,16,4,3,8,1,29,5,2,36,2,14,11
1039,24,No,Human Resources,14,1,Life Sciences,1,4,Female,37,3,2,Healthcare Representative,1,Married,3431,10725,8,Y,Yes,24,3,2,8,2,14,2,3,28,14,14,5
1040,38,No,Human Resources,18,3,Technical Degree,1,1,Female,88,2,1,Healthcare Representative,3,Divorced,15613,10284,4,Y,Yes,17,4,2,8,2,2,5,1,21,12,1,12
1041,26,No,Sales,20,2,Technical Degree,1,1,Male,94,1,3,Sales Executive,3,Divorced,5730,8593,6,Y,No,14,4,3,8,2,12,2,4,13,9,5,6
1042,56,Yes,Human Resources,18,2,Medical,1,3,Male,41,2,4,Sales Representative,4,Single,10212,19378,2,Y,Yes,18,3,3,8,3,8,0,2,18,4,8,7
1043,35,No,Human Resources,16,1,Human Resources,1,3,Male,33,2,4,Healthcare Representative,4,Single,8550,7811,3,Y,No,23,4,3,8,2,12,2,3,4,10,14,11
1044,21,Yes,Sales,1,1,Medical,1,1,Female,70,3,4,Healthcare Representative,4,Single,10878,11504,0,Y,No,24,3,2,8,2,15,2,1,34,13,3,1
1045,42,No,Sales,23,3,Medical,1,1,Female,36,3,1,Human Resources,2,Divorced,15794,26624,2,Y,No,20,4,3,8,3,13,4,1,24,14,15,8
1046,31,No,Sales,27,4,Human Resources,1,2,Female,98,2,3,Sales Representative,2,Divorced,14688,18055,6,Y,No,18,4,1,8,1,7,4,2,37,12,9,12
1047,26,No,Sales,11,1,Life Sciences,1,2,Male,98,3,2,Sales Executive,4,Single,13551,20797,3,Y,Yes,11,4,2,8,1,18,6,2,8,2,1,16
1048,43,No,Sales,15,4,Technical Degree,1,1,Female,59,3,4,Laboratory Technician,1,Married,18879,2947,1,Y,No,18,3,3,8,0,31,5,1,6,8,2,12
1049,19,No,Sales,12,3,Medical,1,4,Male,35,3,1,Reseach Director,1,Divorced,15470,3109,4,Y,Yes,20,4,2,8,1,34,4,1,17,7,6,15
1050,37,No,Human Resources,8,4,Human Resources,1,3,Female,48,3,4,Sales Executive,4,Single,12047,7371,4,Y,Yes,24,3,1,8,2,22,2,3,1,14,3,0
1051,45,No,Human Resources,22,2,Other,1,1,Male,95,3,2,Sales Executive,2,Married,13261,12504,1,Y,No,22,4,1,8,1,20,4,4,9,0,6,6
1052,64,No,Research & Development,20,4,Medical,1,4,Female,39,2,3,Healthcare Representative,2,Divorced,10779,9804,5,Y,No,13,4,3,8,3,17,4,4,1,1,4,12
1053,24,No,Human Resources,6,3,Technical Degree,1,1,Male,45,3,2,Human Resources,1,Married,4758,17909,3,Y,No,15,3,2,8,1,13,3,3,7,8,13,13
1054,61,No,Human Resources,3,3,Life Sciences,1,3,Female,66,1,3,Manager,3,Married,12826,23156,0,Y,Yes,24,4,3,8,1,15,3,1,6,16,7,16
1055,25,No,Sales,28,3,Medical,1,3,Female,61,2,3,Research Scientist,1,Divorced,3512,25548,2,Y,No,20,4,2,8,0,23,1,2,34,8,7,15
1056,64,No,Sales,24,4,Medical,1,2,Male,76,2,3,Human Resources,3,Single,8864,8716,8,Y,Yes,18,3,3,8,0,31,0,2,22,0,4,14
1057,52,No,Human Resources,26,2,Human Resources,1,2,Male,72,2,4,Manager,2,Married,14387,18671,6,Y,No,21,3,3,8,2,10,6,1,7,7,6,16
1058,31,No,Research & Development,13,1,Other,1,2,Female,65,3,2,Healthcare Representative,2,Single,12338,17223,5,Y,No,16,4,2,8,3,10,6,3,20,4,10,1
1059,34,No,Sales,13,2,Other,1,2,Male,55,1,4,Healthcare Representative,4,Divorced,12110,6786,0,Y,Yes,14,3,2,8,2,3,0,1,32,10,5,11
1060,53,No,Human Resources,2,4,Life Sciences,1,3,Female,39,3,2,Laboratory Technician,2,Married,17792,16139,8,Y,Yes,25,3,1,8,3,25,4,2,0,5,12,2
1061,57,No,Human Resources,5,4,Technical Degree,1,4,Male,60,2,1,Manager,3,Married,13158,6743,8,Y,No,14,4,1,8,3,4,1,1,11,16,7,8
1062,21,Yes,Research & Development,17,1,Life Sciences,1,4,Female,58,2,1,Manufacturing Director,1,Married,15628,25467,0,Y,No,22,3,2,8,0,35,1,1,10,17,8,5
1063,19,No,Research & Development,6,4,Medical,1,4,Male,34,2,2,Research Scientist,4,Married,18932,14818,5,Y,No,14,3,1,8,1,32,5,3,29,17,15,5
1064,23,No,Sales,2,3,Medical,1,1,Female,30,2,2,Laboratory Technician,3,Married,15994,21173,6,Y,Yes,16,4,1,8,1,13,6,4,3,4,4,6
1065,59,No,Research & Development,4,3,Other,1,2,Female,32,3,2,Human Resources,1,Divorced,16035,13391,1,Y,No,17,3,2,8,0,31,3,2,33,4,6,7
1066,21,No,Human Resources,22,3,Technical Degree,1,2,Female,96,1,2,Human Resources,1,Married,9437,19533,7,Y,No,23,3,2,8,2,6,1,2,22,18,15,2
1067,46,Yes,Human Resources,15,3,Human Resources,1,3,Male,64,1,3,Manager,1,Divorced,10128,7299,7,Y,Yes,15,4,2,8,1,9,2,1,31,12,13,14
1068,35,Yes,Research & Development,11,3,Technical Degree,1,3,Female,44,2,4,Human Resources,2,Single,5133,12989,5,Y,No,20,4,3,8,2,1,5,2,2,6,0,5
1069,43,No,Research & Development,8,4,Medical,1,1,Male,96,1,3,Manufacturing Director,1,Divorced,19788,4884,8,Y,Yes,24,3,2,8,1,9,6,2,27,13,10,10
1070,61,No,Research & Development,12,1,Human Resources,1,1,Male,59,2,4,Healthcare Representative,2,Married,17384,2512,2,Y,Yes,18,4,2,8,2,34,4,4,3,7,7,2
1071,51,No,Research & Development,8,1,Technical Degree,1,4,Male,72,2,4,Manager,1,Single,1458,21290,1,Y,No,17,3,2,8,3,20,2,2,11,2,2,15
1072,27,No,Sales,11,3,Technical Degree,1,3,Female,89,1,4,Human Resources,1,Divorced,17772,4932,1,Y,No,18,3,1,8,3,39,0,2,23,3,0,5
1073,53,No,Research & Development,22,4,Human Resources,1,2,Male,69,2,3,Healthcare Representative,2,Divorced,16043,15529,5,Y,Yes,25,3,2,8,1,7,6,3,32,9,5,10
1074,31,No,Sales,20,2,Medical,1,4,Male,94,1,2,Sales Representative,2,Divorced,10451,19507,6,Y,Yes,14,3,1,8,2,17,3,3,2,3,13,7
1075,48,No,Human Resources,8,2,Technical Degree,1,2,Male,58,2,3,Sales Executive,3,Married,13652,9731,5,Y,No,18,4,3,8,2,8,2,3,3,17,12,9
1076,65,Yes,Research & Development,23,4,Human Resources,1,4,Female,48,1,3,Healthcare Representative,2,Married,3310,19967,2,Y,Yes,23,4,2,8,3,40,4,3,29,11,7,9
1077,32,No,Sales,8,3,Medical,1,2,Male,32,2,4,Sales Executive,2,Divorced,8719,7067,4,Y,Yes,16,3,2,8,2,29,2,3,5,14,10,2
1078,25,No,Research & Development,26,1,Human Resources,1,1,Male,65,1,1,Manager,3,Divorced,6801,23423,7,Y,No,13,4,1,8,0,3,2,4,29,12,2,13
1079,31,No,Human Resources,17,4,Human Resources,1,4,Male,72,2,1,Reseach Director,3,Single,10668,18985,5,Y,Yes,23,3,3,8,2,34,1,2,7,11,15,8
1080,40,No,Human Resources,20,2,Technical Degree,1,2,Male,44,2,3,Healthcare Representative,2,Married,8225,20335,1,Y,Yes,18,3,2,8,3,13,3,1,17,7,0,12
1081,57,No,Human Resources,20,2,Medical,1,2,Female,70,2,4,Sales Executive,1,Married,12721,17627,6,Y,Yes,23,4,3,8,0,13,0,4,15,8,2,8
1082,38,No,Research & Development,23,2,Technical Degree,1,3,Female,65,1,3,Manager,3,Single,5914,7153,7,Y,Yes,17,4,3,8,0,36,4,1,5,8,14,11
1083,33,No,Research & Development,16,3,Life Sciences,1,4,Male,62,3,3,Healthcare Representative,1,Divorced,16775,3950,3,Y,Yes,20,3,2,8,2,19,5,3,23,16,4,13
1084,62,No,Sales,14,2,Life Sciences,1,2,Male,34,2,2,Manager,1,Divorced,7008,15770,0,Y,Yes,15,4,3,8,3,28,5,2,27,0,10,4
1085,35,No,Human Resources,11,4,Medical,1,3,Male,43,2,4,Reseach Director,3,Single,17992,24083,1,Y,No,21,3,3,8,3,22,4,3,31,5,15,5
1086,64,No,Research & Development,7,4,Human Resources,1,2,Male,97,1,1,Reseach Director,2,Divorced,8297,4157,3,Y,No,14,4,2,8,3,20,0,4,24,6,7,12
1087,41,No,Human Resources,16,2,Technical Degree,1,4,Female,76,2,1,Research Scientist,1,Divorced,12275,16483,6,Y,No,11,4,1,8,0,30,4,1,27,8,8,12
1088,43,No,Human Resources,13,4,Technical Degree,1,1,Female,83,2,1,Laboratory Technician,4,Single,16595,21442,1,Y,No,20,3,2,8,3,31,1,2,20,9,12,5
1089,42,No,Sales,27,2,Medical,1,4,Female,33,2,3,Manager,2,Single,2576,15438,5,Y,Yes,13,4,3,8,0,40,5,4,7,3,11,13
1090,62,No,Sales,15,2,Medical,1,4,Female,38,2,4,Laboratory Technician,3,Single,16119,17329,1,Y,No,12,4,2,8,0,6,6,4,35,15,8,10
1091,58,No,Sales,24,1,Life Sciences,1,2,Male,82,3,2,Research Scientist,4,Divorced,17091,8865,6,Y,Yes,18,3,1,8,1,12,5,2,8,11,15,12
1092,46,No,Sales,16,3,Other,1,2,Male,89,3,1,Manufacturing Director,1,Single,2103,26368,1,Y,No,24,3,3,8,2,22,6,2,39,8,3,11
1093,32,No,Human Resources,27,3,Medical,1,4,Female,75,2,4,Healthcare Representative,2,Divorced,12144,11880,2,Y,Yes,18,3,3,8,3,7,2,4,20,2,7,15
1094,62,No,Sales,21,1,Other,1,3,Female,83,2,1,Human Resources,4,Married,14517,16186,8,Y,No,22,3,1,8,0,11,1,1,0,8,10,5
1095,18,Yes,Sales,24,1,Medical,1,3,Male,66,2,2,Laboratory Technician,2,Married,13354,6534,3,Y,Yes,15,3,1,8,2,35,5,1,3,16,4,8
1096,42,No,Sales,24,3,Human Resources,1,3,Male,52,3,4,Laboratory Technician,1,Single,10693,11339,4,Y,No,24,3,3,8,0,15,1,4,9,13,2,16
1097,24,No,Sales,9,2,Human Resources,1,2,Male,56,3,3,Manager,2,Divorced,7200,15287,8,Y,No,15,4,1,8,2,25,1,4,25,4,4,15
1098,26,No,Human Resources,3,2,Life Sciences,1,2,Male,99,1,3,Healthcare Representative,4,Divorced,18851,11307,6,Y,No,25,3,2,8,0,28,0,3,39,0,1,11
1099,41,No,Sales,19,3,Life Sciences,1,4,Male,95,1,1,Manager,2,Divorced,9055,5296,7,Y,No,21,3,1,8,3,28,5,3,2,0,10,17
1100,18,No,Human Resources,20,2,Other,1,1,Female,90,2,1,Reseach Director,3,Single,5943,19051,2,Y,No,14,3,2,8,1,5,6,1,8,2,10,8
1101,61,No,Research & Development,5,1,Medical,1,2,Female,80,2,4,Laboratory Technician,3,Divorced,15047,18674,3,Y,Yes,11,4,3,8,1,36,3,3,31,8,10,2
1102,25,No,Human Resources,10,2,Technical Degree,1,4,Male,79,3,2,Healthcare Representative,4,Divorced,2363,25899,6,Y,No,11,3,3,8,1,32,6,1,2,5,5,9
1103,41,No,Human Resources,17,2,Life Sciences,1,4,Male,48,2,1,Sales Representative,2,Divorced,7482,3457,3,Y,Yes,23,3,3,8,0,30,0,2,3,8,0,10
1104,28,Yes,Sales,15,4,Technical Degree,1,1,Female,30,2,4,Manufacturing Director,1,Married,13803,26310,1,Y,No,16,4,3,8,2,40,0,2,5,3,5,1
1105,34,No,Research & Development,23,4,Technical Degree,1,3,Male,69,3,2,Research Scientist,2,Divorced,3972,20474,5,Y,No,25,4,3,8,3,17,1,1,8,18,12,7
1106,25,No,Research & Development,25,4,Medical,1,4,Female,61,3,1,Manufacturing Director,1,Married,15512,23826,8,Y,No,14,3,1,8,3,37,3,1,25,4,4,10
1107,52,No,Research & Development,8,2,Other,1,4,Female,51,3,1,Research Scientist,3,Divorced,4051,24920,1,Y,Yes,14,4,1,8,0,30,0,4,1,4,12,17
1108,52,No,Research & Development,15,3,Medical,1,4,Female,95,3,4,Laboratory Technician,1,Divorced,7982,19492,0,Y,No,13,4,3,8,1,15,3,1,1,13,8,6
1109,50,No,Human Resources,21,1,Life Sciences,1,3,Female,69,1,1,Manufacturing Director,2,Divorced,8148,22094,7,Y,No,24,3,1,8,0,39,5,3,20,9,12,13
1110,22,No,Research & Development,14,2,Technical Degree,1,3,Male,67,3,3,Manufacturing Director,1,Married,12235,2117,0,Y,Yes,19,3,1,8,2,36,1,4,21,15,13,6
1111,59,Yes,Human Resources,20,3,Medical,1,1,Male,77,3,2,Human Resources,2,Divorced,7939,5816,0,Y,Yes,13,3,3,8,1,13,0,4,2,5,6,0
1112,56,No,Human Resources,28,2,Medical,1,2,Female,84,2,2,Manager,4,Single,15771,5550,2,Y,Yes,18,4,1,8,0,38,3,3,34,13,5,11
1113,58,No,Human Resources,7,1,Medical,1,3,Male,84,2,3,Human Resources,2,Divorced,19125,25069,4,Y,Yes,12,3,3,8,2,3,4,2,37,17,14,0
1114,45,Yes,Research & Development,19,2,Life Sciences,1,2,Male,80,2,4,Manufacturing Director,3,Married,6349,12651,8,Y,No,14,4,3,8,1,29,6,2,32,8,10,2
1115,24,No,Sales,23,1,Other,1,2,Male,89,1,3,Human Resources,4,Married,6120,25756,1,Y,Yes,11,3,3,8,3,32,0,3,14,6,11,1
1116,26,No,Sales,12,2,Medical,1,3,Male,37,3,3,Human Resources,3,Single,4090,26545,0,Y,Yes,21,4,3,8,2,35,0,4,10,17,6,2
1117,25,No,Research & Development,17,1,Life Sciences,1,4,Female,97,3,2,Manager,2,Single,8811,6838,0,Y,No,15,3,1,8,3,29,0,3,9,9,9,3
1118,29,No,Sales,17,2,Technical Degree,1,1,Male,38,1,4,Healthcare Representative,3,Single,10471,26065,7,Y,Yes,12,4,1,8,2,13,3,2,35,1,15,13
1119,51,No,Sales,10,1,Human Resources,1,2,Female,31,3,1,Laboratory Technician,2,Married,16589,15309,1,Y,Yes,21,3,2,8,1,22,2,2,13,12,4,17
1120,50,No,Human Resources,29,4,Life Sciences,1,4,Female,99,2,3,Healthcare Representative,1,Divorced,18922,25454,8,Y,Yes,23,3,2,8,0,27,5,2,1,5,0,4
1121,65,Yes,Human Resources,19,2,Human Resources,1,3,Male,88,1,3,Laboratory Technician,2,Divorced,18474,11159,8,Y,No,11,3,3,8,0,6,6,1,36,8,14,14
1122,40,No,Research & Development,14,2,Medical,1,2,Female,48,3,4,Healthcare Representative,1,Single,9003,11225,1,Y,Yes,11,4,2,8,0,9,0,3,28,7,8,15
1123,41,No,Research & Development,11,3,Medical,1,2,Male,57,1,3,Healthcare Representative,2,Single,4540,5133,2,Y,Yes,12,4,1,8,0,3,4,1,34,9,4,7
1124,54,No,Sales,2,3,Life Sciences,1,2,Male,43,1,4,Research Scientist,4,Divorced,10352,9857,1,Y,Yes,15,3,1,8,2,37,4,3,19,15,3,7
1125,52,No,Human Resources,18,1,Human Resources,1,4,Female,53,3,1,Human Resources,4,Single,1725,7496,5,Y,No,22,4,2,8,0,12,1,2,20,14,5,6
1126,61,No,Research & Development,7,2,Medical,1,4,Male,73,2,4,Reseach Director,3,Divorced,7238,2663,6,Y,No,25,3,2,8,0,20,2,3,33,12,4,5
1127,57,Yes,Research & Development,12,1,Technical Degree,1,4,Female,85,3,1,Manager,2,Divorced,17597,10888,5,Y,Yes,25,4,1,8,2,32,2,4,32,17,0,6
1128,39,No,Research & Development,26,4,Other,1,2,Female,80,3,4,Healthcare Representative,2,Divorced,13030,14704,2,Y,No,19,3,2,8,2,39,3,3,18,5,1,0
1129,44,No,Research & Development,2,3,Other,1,2,Male,61,2,3,Manufacturing Director,2,Divorced,12310,17397,2,Y,Yes,16,4,1,8,1,27,1,4,7,8,3,12
1130,52,Yes,Research & Development,27,1,Medical,1,1,Male,79,3,1,Sales Representative,2,Married,5103,23456,1,Y,No,22,4,1,8,2,22,6,1,30,17,7,6
1131,18,No,Research & Development,20,1,Human Resources,1,1,Male,70,3,3,Research Scientist,4,Divorced,10533,10665,1,Y,No,14,4,2,8,3,31,3,1,10,6,4,0
1132,52,No,Sales,18,3,Medical,1,4,Female,95,3,1,Sales Representative,2,Single,11050,3328,4,Y,Yes,25,4,2,8,1,4,1,4,7,4,6,9
1133,54,No,Human Resources,6,2,Human Resources,1,4,Male,54,1,4,Sales Executive,3,Single,9112,4472,7,Y,Yes,13,4,3,8,1,25,5,3,24,10,1,12
1134,64,No,Human Resources,24,1,Technical Degree,1,3,Female,90,1,4,Sales Executive,2,Single,19411,9269,5,Y,Yes,18,3,3,8,0,38,2,2,19,12,7,3
1135,31,No,Research & Development,10,3,Human Resources,1,4,Female,95,1,4,Laboratory Technician,1,Single,16099,16630,8,Y,No,13,4,3,8,0,25,6,4,37,2,4,6
1136,20,No,Human Resources,20,2,Medical,1,1,Male,71,3,2,Healthcare Representative,2,Married,16924,14063,4,Y,Yes,11,4,3,8,3,2,5,3,6,0,3,5
1137,18,No,Human Resources,15,4,Technical Degree,1,1,Male,94,2,2,Manager,1,Divorced,9718,12389,3,Y,No,14,4,3,8,0,23,6,3,12,3,8,5
1138,22,No,Human Resources,5,3,Life Sciences,1,1,Male,65,1,1,Manufacturing Director,3,Divorced,2447,3609,8,Y,No,21,4,1,8,2,33,3,3,38,18,5,10
1139,43,No,Research & Development,20,1,Other,1,2,Female,38,2,2,Reseach Director,3,Single,19445,20009,4,Y,Yes,23,3,2,8,2,33,1,2,9,17,14,8
1140,31,No,Research & Development,3,4,Medical,1,2,Male,65,3,4,Reseach Director,4,Single,16038,7979,0,Y,No,15,4,1,8,0,19,2,2,7,5,13,6
1141,56,No,Human Resources,5,2,Medical,1,4,Female,67,1,2,Research Scientist,2,Single,5526,13578,4,Y,No,15,4,3,8,0,29,2,2,19,9,3,8
1142,44,No,Human Resources,25,2,Medical,1,3,Male,62,3,2,Research Scientist,3,Divorced,19705,26335,4,Y,Yes,15,3,3,8,2,19,6,4,16,6,7,5
1143,26,No,Research & Development,8,3,Technical Degree,1,3,Male,71,2,3,Research Scientist,4,Married,11914,21965,4,Y,No,18,3,2,8,1,40,6,4,10,11,15,13
1144,32,No,Sales,8,3,Life Sciences,1,3,Female,90,1,1,Research Scientist,2,Married,2253,6734,1,Y,No,18,4,1,8,3,17,6,2,15,7,2,0
1145,32,No,Human Resources,8,3,Human Resources,1,2,Female,75,1,1,Human Resources,3,Married,3425,20626,5,Y,Yes,22,3,3,8,3,37,0,4,36,12,13,15
1146,43,No,Sales,12,2,Life Sciences,1,1,Male,90,1,1,Healthcare Representative,1,Married,16302,23795,4,Y,Yes,23,4,3,8,1,19,3,2,31,17,12,8
1147,59,No,Human Resources,24,4,Technical Degree,1,1,Male,47,1,2,Sales Representative,3,Single,7499,13515,1,Y,Yes,14,4,3,8,3,5,0,4,25,13,9,14
1148,30,No,Sales,23,2,Medical,1,2,Male,99,2,4,Healthcare Representative,1,Divorced,12692,22242,7,Y,No,25,3,3,8,0,24,6,3,36,10,1,9
1149,49,No,Sales,8,1,Other,1,3,Male,44,1,3,Healthcare Representative,4,Single,6848,23436,5,Y,No,19,4,1,8,0,40,6,2,8,9,6,15
1150,56,No,Sales,11,2,Medical,1,3,Male,77,3,1,Sales Executive,4,Married,15859,13491,2,Y,No,11,3,1,8,0,40,2,4,34,5,13,2
1151,49,Yes,Research & Development,21,1,Human Resources,1,4,Female,42,1,2,Manager,2,Single,13179,8153,8,Y,Yes,15,3,3,8,3,2,3,2,2,12,11,12
1152,21,No,Sales,8,4,Other,1,4,Female,72,2,4,Manufacturing Director,2,Married,12976,14777,3,Y,No,15,4,1,8,1,18,3,3,30,9,14,13
1153,47,No,Sales,29,3,Medical,1,3,Female,89,1,3,Laboratory Technician,2,Divorced,6018,24333,2,Y,No,15,4,3,8,0,9,5,4,6,11,3,6
1154,54,Yes,Sales,24,3,Other,1,2,Female,86,2,3,Manager,4,Married,18975,6579,6,Y,No,18,3,2,8,1,4,4,3,1,0,3,1
1155,40,No,Human Resources,28,2,Life Sciences,1,3,Male,46,2,1,Research Scientist,1,Single,15321,14110,7,Y,Yes,19,4,2,8,2,21,1,1,24,17,9,13
1156,56,Yes,Sales,10,3,Technical Degree,1,4,Female,79,3,1,Sales Representative,2,Divorced,9933,9842,6,Y,Yes,13,3,2,8,2,8,4,2,39,12,8,16
